"record_count","total_passengers","unique_carrier_name","unique_carrier_code"
204,126968,"Aerodynamics Inc.","AJQ"
204,0,"Cargo 360, Inc.","GG"
203,830361,"Jetstar Airways Pty Limited","JQ"
201,690908,"Excel Airways","JN"
201,627,"Air Alsie A/S","15Q"
200,925,"Tyrolean Jet Service","TIQ"
196,185011,"TUI Airlines Nederland B.V.","OR"
191,719438,"Aerosvit Ukranian Airlines","VV"
190,644,"JetAlliance Flugbetriebs d/b/a JAF Airservice","JAG"
188,0,"Master Top Linhas Aereas, Ltda.","Q4"
186,268449,"Taca Peru","TQQ"
176,0,"Arrow Panama","WAP"
175,331815,"Aerolineas Galapagos S A Aerogal","2K"
174,49310,"Pan American World Airways Dominicana","7Q"
171,604237,"Air Europa","UX"
170,12604,"Florida Coastal Airlines","PA"
170,115712,"Surinam Airways Limited","PY"
166,429562,"Aerovias de Intergracian Regional","4C"
165,506,"Global Jet Austria, GmbH","IGA"
163,130847,"MAXjet","MY"
158,417,"JetClub AG","0J"
154,73520,"Lineas Aereas Azteca","ZE"
148,595166,"Czech Airlines","OK"
148,606,"Albinati Aeronautics SA","17Q"
147,0,"Great Wall Airlines Company Limited","IJ"
144,1234266,"Santa Barbara Airlines, C.A","S3"
143,361399,"XL Airways France","SE"
140,754371,"Air Japan Co","NQ"
139,0,"Transmile Air Service","TH"
137,381,"Challenge Air Luftverkehrs GmbH","CAQ"
137,418,"TAG Aviation S.A.","FP"
134,493,"Triair Bermuda Flt Operations","TBQ"
132,394324,"Hainan Airlines Company Limited","HU"
127,108342,"Skyservice Airlines, Inc.","5G"
116,322473,"Sichuan Airlines Co Ltd.","3U"
116,692792,"Olympic Airways","OA"
115,387,"Unijet","12Q"
111,1310,"Victory Air Transport Inc.","VCQ"
110,0,"AirBridgeCargo Airlines Limited","RU"
104,562,"Acropolis Aviation Ltd.","CRV"
102,404,"Jet Aviation Business Jets AG","PP"
100,231502,"Transaero Airlines","UN"
96,8254,"Grand Canyon Helicopters","GCH"
96,0,"Hong Kong Dragonair","KA"
88,15424,"KaiserAir, Inc.","1EQ"
85,79704,"TravelspanGT, Inc. S.A.","9T"
82,382981,"Jin Air Co Ltd.","LJ"
81,228615,"Malev Hungarian Airlines","MA"
81,0,"Turks Air Ltd.","KTQ"
80,12983,"Makani Kai Air Charters","1PQ"
79,386973,"Air Atlanta Europe","EUQ"
78,240834,"Israir Airlines","6H"
74,0,"Yangtze River Express Airlines Company","Y8"
71,110901,"Chicago Express Airlines","C8 (1)"
67,526,"Aeroservices Executive","BES"
66,111302,"Arik Air International","W3"
65,0,"Exec Direct Aviation Services Limited","1JQ"
65,133262,"Corsair International","SS"
61,11517,"Sun Air Express LLC dba Sun Air International","1RQ"
60,93109,"Meridiana S.p.A","IG"
59,270,"Amira Air GmbH","XPE"
58,65175,"Air Comet S.A.","A7"
57,192,"Alsek Air","1FQ"
55,81210,"EOS Airlines, Inc.","E0"
55,33359,"Flying Boat Inc.","OP"
52,3325,"Flair Airlines Ltd.","07Q"
51,226,"Metropix UK, LLP.","0LQ"
50,38943,"Euro Atlantic Airways","MM"
47,6294,"Titan Airways","02Q"
47,20024,"TUI Airlines Belgium N.V. d/b/a Jetairfly","TB"
44,20501,"Belair Airlines Ltd.","4T"
42,3252,"Air St. Thomas","ZP"
39,114,"Regency Air","RGQ"
38,161,"Ocean Sky (UK) Limited","0VQ"
38,47106,"Biman Bangladesh Airlines","BG"
36,36119,"Edelweiss Air Ag","8R"
36,0,"All Canada Express","CEQ"
34,24719,"Open Skies","0OQ"
34,97,"Hapag-Lloyd Executive GmbH","EXC"
33,121,"Jet Connection Businessflight Ag","JCQ"
33,119,"International Jet Management GmbH","1HQ"
32,74,"Swiss Air Ambulance","10Q"
32,190966,"Brussels Airlines N.V.","SN"
31,0,"ANA & JP Express Co. Ltd.","9N"
30,73964,"Avior Airlines, C.A.","9V"
29,7083,"Vladivostok Air","XF"
29,0,"Zantop International","ZKQ"
28,49237,"Norwegian Air Shuttle ASA","DY"
28,68672,"Flyjet Limited d/b/a Silverjet","Y7"
26,2308,"Air Greco, Inc., d/b/a Wings Air","WV"
25,3546,"Bradley Air Services Ltd.","BCQ"
25,353,"Aero-Services-Corporate","WEQ"
25,88,"Flying Service N.V.","0Q"
24,0,"Cargolux Italia SpA","C8"
22,2185,"Polar Airlines de Mexico d/b/a Nova Air","0HQ"
21,19263,"",""
19,42,"Bertelsmann Aviation GmbH","1LQ"
18,8045,"City Wings Inc dba Seaflight","1QQ"
16,2494,"Magadan Airlines","H5"
14,50,"Corporatejets, XXI","0TQ"
14,1900,"Air Company Yakutia","R3"
13,84,"Jet link AG","1IQ"
12,793,"Travel Service, a.s.","QS"
11,0,"Rhoades Aviation dba Transair","1TQ"
10,3659,"Helijet International Inc.","JB"
9,6052,"Pacific Island Aviation","9J"
9,5891,"TUIfly Nordic A.B.","6B"
8,1,"Valley Air Express Inc.","2U"
7,37358,"Jeju Air Co Ltd.","7C"
6,856,"Arizona Express","K7"
2,1028,"Skymark Airlines Inc.","BC"
2,0,"Star Air A/S","S6"
2,0,"JSC The 224th Flight Unit State Airlines","1NQ"
