"record_count","total_passengers","unique_carrier_name","unique_carrier_code"
807,0,"Aerounion Aerotransporte de Carga Union SA de CV","6R"
799,9006,"Buffalo Airways Inc.","BFQ"
795,592174,"Mokulele Flight Services, Inc.","0KQ"
795,1553202,"Aces Airlines","VX (1)"
788,3261979,"Lan Peru Airlines","LP"
782,286588,"Av Atlantic","HCQ"
777,259709,"Haiti Air Freight Intl","HFQ"
776,4411992,"Air Tahiti Nui","TN"
766,3145,"Ellis Air Taxi Inc.","ELL"
744,7125632,"National Airlines","N7"
738,241159,"Surinam Airways Limited","PY"
734,9614,"Aer Turas Teoranta","QTQ"
697,520736,"Balair Ag","BBQ"
692,0,"Global Supply System","GSQ"
684,1289690,"Saeta Airlines","EH"
675,1306777,"Air Europa","UX"
666,0,"Polyot Airlines","POQ"
647,194824,"Viscount Air Service Inc.","VIQ (1)"
645,1863191,"Czech Airlines","OK"
640,1406002,"Air Liberte Aka Aom Minerve","IW"
631,183024,"Gulf Air Company","GF"
630,1182043,"Pro Air Inc.","P9"
621,624928,"Guyana Airways Corporation","GY"
612,0,"Turks Air Ltd.","KTQ"
609,0,"Aeromar C. Por A.","BQ"
602,182674,"Air Nauru","ON"
599,699170,"Sunwing Airlines Inc.","WG"
597,2409780,"Air Berlin PLC and CO","AB"
565,0,"C.A.L Cargo Airlines","5C"
543,2482194,"Porter Airlines, Inc.","PD"
538,317336,"Primaris Airlines Inc.","FE"
537,0,"Lineas Aereas Mayas (Lamsa)","MYQ"
536,399978,"Laker Airways Inc.","6F"
532,2961866,"Qatar Airways (Q.C.S.C)","QR"
524,203676,"Intair","ND"
523,199464,"New England Airlines Inc.","NEW"
523,6567,"NetJets Large Aircraft Company L.L.C.","BNQ"
512,1343171,"Ethiopian Airlines","ET"
506,714180,"Sata Internacional","S4"
496,11988,"DCA","0BQ"
495,633608,"Harmony Airways","HQ"
492,395734,"Apa International Air S.A.","7P"
491,584003,"Compan. De Aviacion Faucett","CF"
488,1142229,"P.T. Garuda Indonesian Arwy","GA"
485,361510,"Lineas Aereas La-Tur Sa","LUQ"
475,0,"Aerial Transit Company","TPQ"
475,230633,"Japan Air Charter Co. Ltd.","JZ"
474,107673,"Multi-Aero, Inc. d/b/a Air Choice One","0MQ"
474,0,"Aerochago S.A.","G3"
472,0,"Fast Air Carrier Ltd.","UD"
467,982941,"Flagship Airlines Inc.","8N"
466,1436,"TAG Aviation Espana S.L.","0RQ"
464,346085,"Aero Costa Rica","ML"
459,2204,"Propair","PPQ"
453,403449,"Uzbekistan Airways","HY"
445,843530,"Aero Peru","PL"
435,0,"Lineas Aereas Suramerican","LSQ"
432,464997,"Union De Transports Aeriens","UT"
415,1892980,"Etihad Airways","EY"
