"description","record_count","total_passengers","origin_airport_dot_id","origin_airport_iata","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_WAC","airport_type","latitude","longitude","iso_country","municipality","iso_region","gps_code","local_code","continent","elevation_feet"
"Portage Creek, AK: Portage Creek Airport",232,970,14037,"PCA","Portage Creek, AK","AK",1,"small_airport",58.90650177,-157.714004517,"US","Portage Creek","US-AK","PAOC","A14","NA",137
"Port Townsend, WA: Jefferson County International",80,947,15387,"TWD","Port Townsend, WA","WA",93,"small_airport",48.0537986755,-122.810997009,"US","Port Townsend","US-WA","K0S9","0S9","NA",108
"Port Moresby, Papua New Guinea: Port Moresby International",9,923,14206,"POM","Port Moresby, Papua New Guinea","",804,"large_airport",-9.44338035583496,147.220001220703,"PG","Port Moresby","PG-NCD","AYPY","","OC",146
"Kodiak, AK: Kodiak Municipal",48,907,12647,"KDK","Kodiak, AK","AK",1,"small_airport",57.8059005737,-152.37399292,"US","Kodiak","US-AK","PAKD","KDK","NA",139
"Excursion Inlet, AK: Excursion Inlet Seaplane Base",324,904,11619,"EXI","Excursion Inlet, AK","AK",1,"seaplane_base",58.4205017089844,-135.449005126953,"US","Excursion Inlet","US-AK","EXI","EXI","NA",""
"Kitakyushu, Japan: Kitakyushu Airport",5,904,12710,"KKJ","Kitakyushu, Japan","",736,"medium_airport",33.8459014893,131.035003662,"JP","Kitakyūshū","JP-40","RJFR","","AS",21
"Nenana, AK: Nenana Municipal",162,899,11559,"ENN","Nenana, AK","AK",1,"medium_airport",64.5473022460938,-149.074005126953,"US","Nenana","US-AK","PANN","ENN","NA",362
"Bournemouth, United Kingdom: Bournemouth Airport",6,880,10712,"BOH","Bournemouth, United Kingdom","",493,"large_airport",50.7799987792969,-1.84249997138977,"GB","Bournemouth","GB-ENG","EGHH","","EU",38
"Dawson City, Canada: Dawson City Airport",26,874,16029,"YDA","Dawson City, Canada","YT",911,"medium_airport",64.043098449707,-139.128005981445,"CA","Dawson City","CA-YT","CYDA","","NA",1215
"Carbondale, IL: Southern Illinois",8,869,13221,"MDH","Carbondale, IL","IL",41,"medium_airport",37.7780990600586,-89.2519989013672,"US","Carbondale/Murphysboro","US-IL","KMDH","MDH","NA",411
"Hangzhou, China: Xiaoshan",4,867,12115,"HGH","Hangzhou, China","",713,"large_airport",30.2294998168945,120.43399810791,"CN","Hangzhou","CN-33","ZSHC","","AS",23
"Larnaca, Cyprus: Larnaca Airport",3,864,12911,"LCA","Larnaca, Cyprus","",611,"large_airport",34.8750991821289,33.6249008178711,"CY","Larnarca","CY-04","LCLK","","AS",8
"Obihiro, Japan: Obihiro Airport",5,849,13803,"OBO","Obihiro, Japan","",736,"medium_airport",42.7332992554,143.216995239,"JP","Obihiro","JP-01","RJCB","","AS",505
"Eindhoven, Netherlands: Eindhoven Airport",14,846,11518,"EIN","Eindhoven, Netherlands","",461,"large_airport",51.4500999451,5.37452983856,"NL","Eindhoven","NL-NB","EHEH","","EU",74
"Lake Charles, LA: Chennault International",27,825,15825,"CWF","Lake Charles, LA","LA",72,"small_airport",30.2105998993,-93.1432037354,"US","Lake Charles","US-LA","KCWF","CWF","NA",17
"Oita, Japan: Oita Airport",3,813,13847,"OIT","Oita, Japan","",736,"medium_airport",33.4794006348,131.736999512,"JP","Oita","JP-44","RJFO","","AS",19
